Model,Image,NIQE,BRISQUE,PIQE,Laplacian_Variance,Gradient_Magnitude,Entropy,RMS_Contrast
SRCNN,srcnn_flowers.jpg,8.867517504251603,3.939681613902172,13.721332718995088,115.01318373711261,47.70061818234192,7.3888683,55.82328668868358
Bicubic,bicubic_flowers.png,10.560024149361595,4.369744847808542,16.58822765650692,164.74285216467084,64.32127878864131,7.3593664,54.30473421705727
ESRGAN,esrgan_flowers.png,8.975207009971792,6.746993868130639,14.528335145821197,320.78277297633093,51.88101133452617,7.388272,56.33518165893361
